postcode,price,bedrooms,year,month,house
2607,525000,4,2007,2,1.0
2906,290000,3,2007,2,1.0
2905,328000,3,2007,3,1.0
2905,380000,4,2007,3,1.0
2906,310000,3,2007,3,1.0
2905,465000,4,2007,4,1.0
2607,399000,3,2007,4,1.0
2606,1530000,4,2007,4,1.0
2902,359000,3,2007,5,1.0
2906,320000,3,2007,5,1.0
2902,385000,3,2007,6,1.0
2906,305000,3,2007,6,1.0
2612,850000,4,2007,6,1.0
2904,765000,4,2007,6,1.0
2615,517000,4,2007,6,1.0
2914,800000,5,2007,7,1.0
2906,336000,3,2007,7,1.0
2615,535000,5,2007,7,1.0
2602,900000,4,2007,7,1.0
2600,327000,1,2007,7,1.0
2602,427500,3,2007,7,1.0
2602,780000,3,2007,7,1.0
2602,530000,3,2007,7,1.0
2602,590000,3,2007,7,1.0
2605,525000,3,2007,7,1.0
2904,549000,4,2007,7,1.0
2603,1780000,4,2007,7,1.0
2611,446000,3,2007,7,1.0
2607,558000,4,2007,7,1.0
2605,506000,3,2007,7,1.0
2903,520000,4,2007,7,1.0
2905,383000,3,2007,8,1.0
2607,520000,3,2007,8,1.0
2904,815000,5,2007,8,1.0
2602,545500,3,2007,8,1.0
2602,760000,3,2007,8,1.0
2602,520000,3,2007,8,1.0
2606,636000,3,2007,8,1.0
2617,625000,4,2007,8,1.0
2600,790000,4,2007,8,1.0
2905,320000,3,2007,8,1.0
2902,418000,5,2007,8,1.0
2905,455000,4,2007,8,1.0
2913,560000,4,2007,8,1.0
2904,585000,4,2007,8,1.0
2906,325000,2,2007,8,1.0
2902,420000,4,2007,8,1.0
2602,599000,3,2007,8,1.0
2905,315000,2,2007,8,1.0
2913,367000,3,2007,8,1.0
2902,348000,3,2007,8,1.0
2611,532500,4,2007,8,1.0
2611,465000,3,2007,9,1.0
2913,820000,4,2007,9,1.0
2611,590000,3,2007,9,1.0
2904,559000,4,2007,9,1.0
2902,446000,4,2007,9,1.0
2602,470000,3,2007,9,1.0
2903,396500,4,2007,9,1.0
2604,479000,3,2007,9,1.0
2603,1460000,5,2007,9,1.0
2602,500000,4,2007,9,1.0
2602,506000,4,2007,9,1.0
2607,520000,4,2007,9,1.0
2612,920000,4,2007,9,1.0
2903,507000,4,2007,9,1.0
2611,475000,3,2007,10,1.0
2904,397000,3,2007,10,1.0
2605,556000,3,2007,10,1.0
2905,447000,4,2007,10,1.0
2614,720000,4,2007,10,1.0
2615,273000,1,2007,10,1.0
2615,368000,3,2007,10,1.0
2905,385000,3,2007,10,1.0
2904,560000,5,2007,10,1.0
2905,455000,4,2007,10,1.0
2906,480000,4,2007,10,1.0
2906,300500,3,2007,10,1.0
2602,505000,3,2007,10,1.0
2602,135500,1,2007,10,1.0
2912,590000,4,2007,10,1.0
2617,645000,5,2007,10,1.0
2605,770000,4,2007,10,1.0
2913,1100000,5,2007,10,1.0
2913,365000,3,2007,11,1.0
2607,612500,4,2007,11,1.0
2615,472500,4,2007,11,1.0
2611,600000,5,2007,11,1.0
2615,372500,3,2007,11,1.0
2905,395000,3,2007,11,1.0
2602,497000,2,2007,11,1.0
2906,595000,4,2007,11,1.0
2611,465000,2,2007,11,1.0
